title,Seasons,Cancelled,genre,Country,Type,Premiere Year,Finale Year
Eden,1.0,1.0,,,TV Show,2021,2021.0
Trese,1.0,1.0,,"Philippines, Singapore, Indonesia",TV Show,2021,2021.0
Resident Evil: Infinite Darkness,1.0,1.0,,,TV Show,2021,2021.0
Transformers: War for Cybertron Trilogy: Kingdom,1.0,1.0,,,TV Show,2021,2021.0
Super Crooks,1.0,1.0,,,TV Show,2021,2021.0
The Orbital Children,1.0,1.0,,,TV Show,2022,2022.0
Kotaro Lives Alone,1.0,1.0,,,TV Show,2022,2022.0
Thermae Romae Novae,1.0,1.0,,,TV Show,2022,2022.0
Vampire in the Garden,1.0,1.0,,,TV Show,2022,2022.0
Spriggan,1.0,1.0,,,TV Show,2022,2022.0
Kakegurui Twin,1.0,1.0,,,TV Show,2022,2022.0
Tekken: Bloodline,1.0,1.0,,,TV Show,2022,2022.0
Rilakkuma's Theme Park Adventure,1.0,1.0,,,TV Show,2022,2022.0
Bee and PuppyCat,1.0,1.0,,,TV Show,2022,2022.0
Cyberpunk: Edgerunners,1.0,1.0,,,TV Show,2022,2022.0
Exception,1.0,1.0,,,TV Show,2022,2022.0
Romantic Killer,1.0,1.0,,,TV Show,2022,2022.0
All Hail King Julien,5.0,0.0,Kids,United States,TV Show,2014,2017.0
Ever After High,5.0,0.0,Kids,Canada,TV Show,2015,2016.0
Dragons: Race to the Edge,6.0,0.0,Kids,United States,TV Show,2015,2018.0
Popples,3.0,0.0,Kids,"United States, France, United States",TV Show,2015,2016.0
Care Bears and Cousins,2.0,0.0,,,TV Show,2015,2016.0
Lego Bionicle: The Journey to One,2.0,0.0,,,TV Show,2016,2016.0
Lego Friends: The Power of Friendship,2.0,0.0,,,TV Show,2016,2016.0
Kong: King of the Apes,2.0,0.0,Kids,"United States, Japan, Canada, United States",TV Show,2016,2018.0
Voltron: Legendary Defender,8.0,0.0,Kids,United States,TV Show,2016,2018.0
Justin Time GO!,1.0,1.0,Kids,,TV Show,2016,2016.0
Word Party,5.0,0.0,Kids,United States,TV Show,2016,2021.0
Ask the StoryBots,3.0,0.0,Kids,United States,TV Show,2016,2019.0
Kulipari: An Army of Frogs,1.0,1.0,Kids,United States,TV Show,2016,2016.0
